Start Time	End Time	Active Appliances
2014-07-11 12:00:00	2014-07-11 12:30:00	{'10-982.0', '17-3727.0', '24-4450.0', '3-3628.0', '23-15576.5', '19-5535.0'}
2014-07-11 12:30:00	2014-07-11 13:00:00	{'24-4147.0', '10-7839.0', '17-4045.0', '23-14499.0', '3-17053.5'}
2014-07-11 13:00:00	2014-07-11 13:30:00	{'23-15548.0', '19-3713.0', '10-8650.0', '3-19345.0', '24-4453.0', '17-4114.0'}
2014-07-11 13:30:00	2014-07-11 14:00:00	{'3-18343.0', '23-14428.0', '17-3500.0', '10-8030.0', '24-4085.0'}
2014-07-11 14:00:00	2014-07-11 14:30:00	{'23-15485.0', '24-4399.5', '10-8548.0', '3-17725.0', '17-3730.0'}
2014-07-11 14:30:00	2014-07-11 15:00:00	{'24-4103.0', '3-18905.0', '17-3884.0', '23-14452.0', '10-7717.0'}
2014-07-11 15:00:00	2014-07-11 15:30:00	{'3-16073.0', '17-4347.0', '10-8419.0', '19-1874.0', '24-4643.0', '22-125742.0', '23-15458.0'}
2014-07-11 15:30:00	2014-07-11 16:00:00	{'17-3848.0', '3-15527.0', '23-14426.0', '24-4418.0', '10-7947.0', '22-160180.0'}
2014-07-11 16:00:00	2014-07-11 16:30:00	{'3-23157.0', '23-15356.0', '22-210716.0', '24-4726.0', '17-4328.0', '10-8415.5'}
2014-07-11 16:30:00	2014-07-11 17:00:00	{'24-4142.0', '3-18417.0', '22-25025.0', '10-8051.0', '23-14183.0', '17-3889.0'}
2014-07-11 17:00:00	2014-07-11 17:30:00	{'17-4196.0', '24-4846.0', '22-283570.0', '10-8546.5', '23-15341.0', '3-19257.0'}
2014-07-11 17:30:00	2014-07-11 18:00:00	{'23-14338.0', '17-3501.0', '24-4075.0', '10-7768.0', '3-33278.0'}
2014-07-11 18:00:00	2014-07-11 18:30:00	{'19-768.0', '3-36849.0', '23-15043.0', '24-4326.0', '17-4343.0'}
2014-07-11 18:30:00	2014-07-11 19:00:00	{'3-33091.0', '24-4076.0', '17-3625.0', '23-14147.0'}
2014-07-11 19:00:00	2014-07-11 19:30:00	{'23-15402.0', '3-35229.0', '5-1461.0', '24-4365.0', '17-5126.0'}
2014-07-11 19:30:00	2014-07-11 20:00:00	{'5-19758.0', '3-32980.0', '24-4140.0', '17-5544.0', '23-14472.0'}
2014-07-11 20:00:00	2014-07-11 20:30:00	{'5-21190.0', '23-15474.0', '24-4412.0', '17-5826.0', '3-35451.0'}
2014-07-11 20:30:00	2014-07-11 21:00:00	{'3-36693.0', '23-14511.0', '24-4146.0', '17-5234.0'}
2014-07-11 21:00:00	2014-07-11 21:30:00	{'24-4345.0', '3-35317.0', '23-15282.0', '17-5736.0'}
2014-07-11 21:30:00	2014-07-11 22:00:00	{'3-33119.0', '17-5140.5', '24-4104.0', '23-14421.0'}
2014-07-11 22:00:00	2014-07-11 22:30:00	{'17-5415.0', '24-4397.0', '3-35154.0', '23-15527.0'}
2014-07-11 22:30:00	2014-07-11 23:00:00	{'17-5080.0', '24-4134.0', '3-33439.0', '23-14530.0', '6-16065.0'}
2014-07-11 23:00:00	2014-07-11 23:30:00	{'17-5418.0', '23-15514.0', '6-27543.0', '3-35562.0', '24-4367.0'}
2014-07-11 23:30:00	2014-07-11 00:00:00	{'3-33339.0', '19-18861.0', '24-4133.0', '23-14563.0', '17-5081.0'}
2014-07-12 00:00:00	2014-07-12 00:30:00	{'23-15512.0', '24-4393.0', '17-5434.0', '3-35583.0'}
2014-07-12 00:30:00	2014-07-12 01:00:00	{'24-4139.0', '19-15139.0', '17-5082.0', '23-14530.0', '3-33176.0'}
2014-07-12 01:00:00	2014-07-12 01:30:00	{'23-15218.0', '3-35726.0', '24-4335.0', '17-5546.0'}
2014-07-12 01:30:00	2014-07-12 02:00:00	{'23-14374.0', '5-0.0', '19-12327.0', '17-5166.0', '3-33373.0', '24-4068.0'}
2014-07-12 02:00:00	2014-07-12 02:30:00	{'23-15429.0', '17-5522.0', '24-4344.0', '3-35937.0'}
2014-07-12 02:30:00	2014-07-12 03:00:00	{'23-14262.0', '24-4056.0', '19-8501.0', '3-34619.0', '17-5202.0'}
2014-07-12 03:00:00	2014-07-12 03:30:00	{'17-5559.0', '24-4334.0', '23-15326.0', '3-35995.5'}
2014-07-12 03:30:00	2014-07-12 04:00:00	{'19-2911.0', '24-4058.0', '3-33371.0', '17-5116.0', '23-14364.0'}
2014-07-12 04:00:00	2014-07-12 04:30:00	{'17-5462.0', '24-4332.0', '3-35581.0', '23-15350.0'}
2014-07-12 04:30:00	2014-07-12 05:00:00	{'17-5090.0', '23-14466.0', '24-4084.0', '3-33194.5'}
2014-07-12 05:00:00	2014-07-12 05:30:00	{'3-37170.0', '24-4390.5', '17-5434.0', '23-15484.5'}
2014-07-12 05:30:00	2014-07-12 06:00:00	{'24-4082.0', '23-14437.0', '3-33486.0', '17-5116.0'}
2014-07-12 06:00:00	2014-07-12 06:30:00	{'17-5468.0', '3-35519.0', '24-4349.0', '23-15411.0'}
2014-07-12 06:30:00	2014-07-12 07:00:00	{'17-5112.0', '23-14336.0', '24-4054.0', '3-33138.0'}
2014-07-12 07:00:00	2014-07-12 07:30:00	{'3-35368.5', '17-5478.0', '23-15284.0', '24-4351.0'}
2014-07-12 07:30:00	2014-07-12 08:00:00	{'17-5099.0', '3-33166.0', '23-14475.0', '24-4091.0'}
2014-07-12 08:00:00	2014-07-12 08:30:00	{'17-5467.0', '19-19185.0', '23-15243.0', '3-35373.0', '24-4337.0'}
2014-07-12 08:30:00	2014-07-12 09:00:00	{'3-33084.5', '17-5112.0', '23-14345.0', '24-4059.0'}
2014-07-12 09:00:00	2014-07-12 09:30:00	{'6-364.0', '17-5433.0', '24-4404.5', '23-15481.5', '3-35348.0', '19-19320.0'}
2014-07-12 09:30:00	2014-07-12 10:00:00	{'3-33034.0', '23-14610.0', '6-27087.0', '17-5090.0', '24-4180.0'}
2014-07-12 10:00:00	2014-07-12 10:30:00	{'6-26990.0', '17-5458.0', '3-35461.0', '24-4422.0', '23-15535.0', '19-14306.0'}
2014-07-12 10:30:00	2014-07-12 11:00:00	{'24-4112.0', '3-38875.0', '6-24842.0', '17-5074.0', '10-5897.0', '23-14481.0'}
2014-07-12 11:00:00	2014-07-12 11:30:00	{'23-15427.0', '6-26395.0', '10-7073.0', '17-5426.0', '19-9416.0', '3-42578.0', '24-4370.0'}
2014-07-12 11:30:00	2014-07-12 12:00:00	{'24-4076.0', '23-14353.0', '10-6683.0', '17-5066.0', '3-40454.0'}
2014-07-12 12:00:00	2014-07-12 12:30:00	{'24-4343.0', '17-5558.0', '10-7496.0', '3-47788.0', '19-6395.0', '23-15281.0'}
2014-07-12 12:30:00	2014-07-12 13:00:00	{'10-7602.5', '24-4065.0', '23-14306.0', '3-36188.0', '17-5411.0'}
2014-07-12 13:00:00	2014-07-12 13:30:00	{'3-37325.0', '10-2996.0', '17-5846.0', '23-15342.0', '24-4365.0', '5-6234.0', '19-13631.0'}
2014-07-12 13:30:00	2014-07-12 14:00:00	{'23-14414.0', '5-19977.0', '17-5561.0', '24-4108.0', '10-7782.0', '3-36081.0'}
2014-07-12 14:00:00	2014-07-12 14:30:00	{'23-15411.0', '17-5877.0', '19-19813.0', '10-1820.0', '24-4406.0', '3-38904.0', '5-21275.0'}
2014-07-12 14:30:00	2014-07-12 15:00:00	{'3-38403.0', '17-5355.0', '24-4101.0', '5-19968.0', '10-7705.0', '23-14417.5'}
2014-07-12 15:00:00	2014-07-12 15:30:00	{'19-19293.5', '23-15360.0', '24-4399.0', '10-8148.0', '3-39854.0', '17-4907.5'}
2014-07-12 15:30:00	2014-07-12 16:00:00	{'23-14416.0', '3-34809.0', '17-3536.5', '24-4127.0'}
2014-07-12 16:00:00	2014-07-12 16:30:00	{'17-5002.0', '24-4413.5', '19-18250.0', '3-36388.0', '23-15404.0'}
2014-07-12 16:30:00	2014-07-12 17:00:00	{'24-4103.0', '3-34065.0', '17-4939.0', '23-14389.0'}
2014-07-12 17:00:00	2014-07-12 17:30:00	{'24-4373.0', '19-17832.0', '17-5262.0', '3-36371.0', '23-15338.0'}
2014-07-12 17:30:00	2014-07-12 18:00:00	{'10-7510.0', '17-4602.0', '23-14399.0', '3-36313.0', '24-4102.0'}
2014-07-12 18:00:00	2014-07-12 18:30:00	{'17-4170.0', '21-9588.0', '19-14250.0', '10-506.0', '23-15370.0', '24-4334.5', '3-38209.0'}
2014-07-12 18:30:00	2014-07-12 19:00:00	{'3-34718.0', '23-26469.0', '20-100531.0', '24-4506.0', '17-3530.5'}
2014-07-12 19:00:00	2014-07-12 19:30:00	{'23-15436.0', '24-4436.0', '17-3784.0', '19-11251.0', '10-2977.0', '20-4640.0', '3-37258.0'}
2014-07-12 19:30:00	2014-07-12 20:00:00	{'24-4179.0', '5-17023.0', '3-33554.0', '23-14463.0', '20-4337.0', '17-3526.0'}
2014-07-12 20:00:00	2014-07-12 20:30:00	{'23-15345.0', '17-4033.0', '24-4407.0', '5-19888.0', '20-4650.0', '3-35647.0'}
2014-07-12 20:30:00	2014-07-12 21:00:00	{'23-14128.0', '5-18711.0', '3-33430.0', '17-3538.0', '24-4057.0'}
2014-07-12 21:00:00	2014-07-12 21:30:00	{'19-1490.0', '3-35794.0', '23-15060.0', '5-19856.0', '17-4091.0', '24-4337.0'}
2014-07-12 21:30:00	2014-07-12 22:00:00	{'17-3534.0', '24-4094.0', '3-33381.0', '5-18620.0', '23-14369.0'}
2014-07-12 22:00:00	2014-07-12 22:30:00	{'3-36377.5', '17-3754.0', '10-2343.0', '24-4376.0', '23-15415.0'}
2014-07-12 22:30:00	2014-07-12 23:00:00	{'23-14391.0', '10-7514.0', '24-4105.0', '3-36436.0', '17-3526.0'}
2014-07-12 23:00:00	2014-07-12 23:30:00	{'24-4356.0', '10-7886.0', '17-3771.0', '3-38957.0', '23-15395.0'}
2014-07-12 23:30:00	2014-07-12 00:00:00	{'3-40589.0', '23-14453.0', '24-4124.0', '10-7623.0', '17-3529.0'}
2014-07-13 00:00:00	2014-07-13 00:30:00	{'24-4489.0', '17-4143.0', '23-15548.0', '3-38109.0'}
2014-07-13 00:30:00	2014-07-13 01:00:00	{'17-3711.0', '3-33360.0', '23-14585.5', '24-4275.0'}
2014-07-13 01:00:00	2014-07-13 01:30:00	{'24-4539.0', '3-35628.0', '23-15585.0', '17-4165.0'}
2014-07-13 01:30:00	2014-07-13 02:00:00	{'5-0.0', '23-14561.0', '24-4263.0', '3-33333.0', '17-3520.0'}
2014-07-13 02:00:00	2014-07-13 02:30:00	{'23-15653.0', '24-4560.0', '17-4105.0', '3-35640.0'}
2014-07-13 02:30:00	2014-07-13 03:00:00	{'17-3520.0', '23-14618.0', '3-33297.0', '24-4285.0', '19-22403.0'}
2014-07-13 03:00:00	2014-07-13 03:30:00	{'23-15586.0', '17-3776.0', '3-35609.0', '24-4538.0'}
2014-07-13 03:30:00	2014-07-13 04:00:00	{'23-14579.5', '19-18286.0', '3-33300.0', '17-3524.0', '24-4237.5'}
2014-07-13 04:00:00	2014-07-13 04:30:00	{'3-35741.0', '17-3760.0', '23-15621.5', '24-4575.0'}
2014-07-13 04:30:00	2014-07-13 05:00:00	{'23-14607.0', '17-3515.0', '24-4280.0', '3-33353.0', '19-10437.0'}
2014-07-13 05:00:00	2014-07-13 05:30:00	{'3-35560.0', '17-4179.0', '24-4446.5', '23-15500.5'}
2014-07-13 05:30:00	2014-07-13 06:00:00	{'23-14478.0', '3-33311.0', '17-3878.0', '19-7016.0', '24-4150.0'}
2014-07-13 06:00:00	2014-07-13 06:30:00	{'24-4427.0', '23-15451.0', '17-4213.0', '3-35567.5'}
2014-07-13 06:30:00	2014-07-13 07:00:00	{'17-3501.0', '3-33314.0', '23-14495.0', '24-4139.5', '19-3388.0'}
